"","doc_id","timestamp","favorite_count","retweet_count","text"
"156",156,2015-11-14 23:31:00,2262,870,"@Gman     @realDonaldTrump @HaloOneForTrump @FoxNews @CNN @GOP I love you Trump MAKE AMERICA GREAT AGAIN"
"157",157,2015-11-14 23:32:00,3687,1593,"@MikeOG @realDonaldTrump was right close the borders #Trump    "
"158",158,2015-11-15 03:21:00,4850,2156,"Great news out of New Hampshire DonaldTrump is pulling away from the pack w  nd is    behind him #Trump     "
"159",159,2015-11-15 03:23:00,2112,903,"@jcooper   #DemDebate this debate stinks CBS News major fail @realDonaldTrump"
"160",160,2015-11-15 03:23:00,2224,972,"@jaslohr @realDonaldTrump are you watching this circus #DemDebate what a joke #Trump    "
"161",161,2015-11-15 03:25:00,2392,982,"@TomRichey Enough of these party debates What I wanna see is a @SenSanders vs @realDonaldTrump one on one debate That would be easy"
"162",162,2015-11-15 03:25:00,2129,783,"@redletter   @realDonaldTrump I absolutely love this cant wait till u debate Clinton"
"163",163,2015-11-15 03:26:00,2214,868,"@Oliviaand   @realDonaldTrump TrumpOn America needs you in office Now #MakeAmericaGreatAgain #Trump    "
"164",164,2015-11-15 03:30:00,12228,6367,"Why wont President Obama use the term Islamic Terrorism Isnt it now after all of this time and so much death about time"
"165",165,2015-11-15 03:40:00,6775,2835,"Hillary and Sanders are not doing well but what is the failed former Mayor of Baltimore doing on that stage OMalley is a clown"
"166",166,2015-11-15 03:52:00,4659,2683,"Wow Bernie Sanders just admitted that the real unemployment rate is    it is actually over    and for  African American youth    "
"167",167,2015-11-15 03:57:00,3464,1230,"I think everyone will like my new and very successful book Crippled America Go get it and let me know what you think"
"168",168,2015-11-15 04:00:00,3410,1671,"@tasteofaz Poll Trump Surges to    Nationally Bad News for Marco Rubio  @realdonaldtrump  Great news"
"169",169,2015-11-15 06:17:00,2119,923,"@TejadaDennes @realDonaldTrump Crippled America is an incredible book People need to read truth #HispanicsForTrump #DemocratsForTrump"
"170",170,2015-11-15 06:20:00,2581,1067,"@mnrosrnr @realDonaldTrump the best book Ive read in years Trump is right on every issue and has the best ideas a true economic genius"
"171",171,2015-11-15 14:18:00,13068,6641,"When will President Obama issue the words RADICAL ISLAMIC TERRORISM He  cant say it and unless he will  the problem will not be solved"
"172",172,2015-11-15 20:33:00,2672,1299,"@realDonaldTrump on ISISOIL FIELDS Saying it for years @AndersonCooper you should acknowledge this #Trump     "
